0.02 U  0.072  0.071  0.065  0.057
0.04 U  0.131  0.130  0.117  0.097
0.06 U  0.190  0.188  0.164  0.124
0.08 U  0.251  0.249  0.209  0.141
0.10 U  0.314  0.311  0.253  0.153
0.12 U  0.382  0.379  0.301  0.165
0.16 U  0.536  0.543  0.412  0.192
0.20 U  0.768  0.764  0.554  0.228
0.24 U  1.045  1.040  0.716  0.265
0.28 U  1.359  1.351  0.883  0.300
0.32 U  1.672  1.661  1.031  0.326
0.36 U  1.982  1.969  1.155  0.338
0.40 U  2.230  2.212  1.230  0.331
0.44 U  2.453  2.431  1.282  0.316
0.48 U  2.745  2.717  1.338  0.300
0.52 U  3.005  2.969  1.367  0.276
0.60 U  3.266  3.215  1.343  0.200
0.68 U  3.394  3.329  1.291  0.121
0.76 U  3.631  3.544  1.269  0.067
0.84 U  3.964  3.841  1.257  0.022
0.92 U  4.259  4.091  1.234 -0.024
1.00 U  4.466  4.254  1.201 -0.069
1.10 U  4.696  4.422  1.157 -0.124
1.20 U  4.899  4.560  1.119 -0.171
1.30 U  5.068  4.666  1.084 -0.211
1.40 U  5.138  4.693  1.028 -0.270
1.50 U  5.155  4.676  0.955 -0.345
1.60 U  5.172  4.660  0.885 -0.417
1.70 U  5.205  4.665  0.842 -0.461
1.80 U  5.249  4.682  0.815 -0.489
1.90 U  5.295  4.704  0.797 -0.509
2.00 U  5.334  4.728  0.791 -0.515
0.02 B  0.098  0.098  0.082  0.050
0.04 B  0.196  0.196  0.164  0.103
0.06 B  0.297  0.297  0.249  0.161
0.08 B  0.401  0.400  0.336  0.222
0.10 B  0.508  0.506  0.425  0.285
0.12 B  0.614  0.612  0.514  0.346
0.16 B  0.815  0.812  0.679  0.461
0.20 B  0.993  0.989  0.825  0.561
0.24 B  1.151  1.146  0.953  0.643
0.28 B  1.296  1.290  1.067  0.709
0.32 B  1.443  1.436  1.178  0.764
0.36 B  1.586  1.578  1.281  0.807
0.40 B  1.745  1.737  1.391  0.844
0.44 B  1.914  1.905  1.501  0.874
0.48 B  2.085  2.075  1.604  0.895
0.52 B  2.277  2.266  1.713  1.016
0.60 B  2.708  2.694  1.928  0.948
0.68 B  3.167  3.148  2.105  0.957
0.76 B  3.590  3.563  2.211  0.874
0.84 B  3.933  3.896  2.251  0.888
0.92 B  4.222  4.173  2.259  0.836
1.00 B  4.483  4.419  2.255  0.787
1.10 B  4.762  4.675  2.236  0.731
1.20 B  5.001  4.886  2.206  0.673
1.30 B  5.243  5.093  2.174  0.620
1.40 B  5.498  5.302  2.144  0.573
1.50 B  5.732  5.485  2.123  0.539
1.60 B  5.916  5.618  2.095  0.504
1.70 B  6.052  5.702  2.047  0.450
1.80 B  6.154  5.758  2.001  0.400
1.90 B  6.224  5.789  1.953  0.348
